Artikel,Kurz,Mittel,Lang
"waschen, schneiden trocknen inkl. Kopfmassage, Ohrenhaare und Augenbrauen trimmen",65.5,87,108
"waschen, Messerhaarschnitt, trocknen inkl. Kopfmassage, Ohrenhaare und Augenbrauen trimmen",65.5,87,108
schneiden inkl. Ohrenhaare und Augenbrauen trimmen (30min / 45min / 60min),48,65.5,87
Messerhaarschnitt inkl. Ohrenhaare und Augenbrauen trimmen (30min / 45min / 60min),48,65.5,8
Kranz / Maschinenschnitt mit Übergang der Schäre / Konturenschnitt / Ohrenhaare und Augenbrauen trimmen,43.5,,
Maschinenschnitt ganzer Kopf bis 6 mm inkl. Ohrenhaare und Augenbrauen trimmen,36.5,,
Bart schneiden (während des Service / exklusiv),39,65.5,
Schnurrbart (10 min),14.50,,
färben (bis: 50ml/ 70ml / 100ml),87,94,108
Men Reshade Service (nach Aufwand),65.5,87,108
